Subject,CrseNumb,AcyrCode,Term,Section,EnrlMax,EnrlActual
ABCD,101,1992,199230,N16,15,16
ABCD,101,1992,199230,N17,15,15
ABCD,101,1992,199230,R40,35,17
ABCD,101,1993,199330,N10,20,14
ABCD,101,1993,199330,N11,20,14
ABCD,101,1993,199330,R40,35,13
ABCD,101,1994,199430,R10,18,18
ABCD,101,1994,199430,R11,17,14
ABCD,101,1994,199430,R12,20,21
ABCD,101,1995,199530,R16,35,24
ABCD,101,1995,199530,R40,20,13
ABCD,110,1991,199220,N10,20,12
ABCD,110,1992,199320,N16,35,10
ABCD,110,1992,199320,R40,20,10
ABCD,110,1993,199420,N16,35,16
ABCD,110,1993,199420,R40,20,15
ABCD,110,1994,199520,R16,35,21
ABCD,110,1994,199520,R40,35,14
ABCD,110,1995,199620,R16,35,16
ABCD,110,1995,199620,R40,35,13
ABCD,1101,1996,199630,R16,20,12
ABCD,1101,1996,199630,R17,20,20
ABCD,1101,1996,199630,R40,20,22
ABCD,1101,1997,199730,R16,35,30
ABCD,1101,1997,199730,R17,0,0
ABCD,1101,1997,199730,R40,20,16
ABCD,1101,1998,199830,R16,35,31
ABCD,1101,1998,199830,R40,35,22
ABCD,1101,1998,199830,S16,35,20
ABCD,1101,1999,199930,R16,35,28
ABCD,1101,1999,199930,R40,20,16
ABCD,1101,1999,199930,S16,35,21
ABCD,1101,2000,200030,R16,35,28
ABCD,1101,2000,200030,R40,20,18
ABCD,1101,2000,200030,S14,35,27
ABCD,1101,2000,200030,S16,35,20
ABCD,1101,2001,200130,R14,35,21
ABCD,1101,2001,200130,R16,35,34
ABCD,1101,2001,200130,R40,35,10
ABCD,1101,2001,200130,S14,35,21
ABCD,1101,2001,200130,S16,35,17
ABCD,1101,2002,200230,R14,35,11
ABCD,1101,2002,200230,R16,35,9
ABCD,1101,2002,200230,R40,35,13
ABCD,1101,2002,200230,S14,35,32
ABCD,1101,2002,200230,S16,35,11
ABCD,1101,2002,200310,S16,35,4
ABCD,1101,2003,200330,L14,35,15
ABCD,1101,2003,200330,R16,35,9
ABCD,1101,2003,200330,R40,35,18
ABCD,1101,2003,200330,S14,35,19
ABCD,1101,2003,200330,S16,35,9
ABCD,1101,2003,200410,S16,35,9
ABCD,1101,2004,200430,R14,35,23
ABCD,1101,2004,200430,R16,35,10
ABCD,1101,2004,200430,R20,35,9
ABCD,1101,2004,200430,R40,35,19
ABCD,1101,2004,200430,S10,35,11
ABCD,1101,2004,200430,S14,35,19
ABCD,1101,2004,200430,S16,35,14
ABCD,1101,2004,200430,S20,35,25
ABCD,1101,2004,200510,S10,35,8
ABCD,1101,2004,200510,S20,35,6
ABCD,1101,2005,200530,R14,35,14
ABCD,1101,2005,200530,R16,35,17
ABCD,1101,2005,200530,R20,35,22
ABCD,1101,2005,200530,R40,35,16
ABCD,1101,2005,200530,S10,35,1
ABCD,1101,2005,200530,S14,35,15
ABCD,1101,2005,200530,S16,35,32
ABCD,1101,2005,200530,S20,35,18
ABCD,1101,2005,200610,S14,35,20
ABCD,1101,2005,200610,S16,0,0
ABCD,1101,2006,200630,R16,35,8
ABCD,1101,2006,200630,R20,35,23
ABCD,1101,2006,200630,R40,20,19
ABCD,1101,2006,200630,S36,35,17
ABCD,1101,2006,200630,S38,35,25
ABCD,1101,2006,200710,R14,35,14
ABCD,1101,2006,200710,R16,0,0
ABCD,1101,2006,200710,S14,35,26
ABCD,1101,2006,200710,S16,35,0
ABCD,1101,2007,200730,R20,35,19
ABCD,1101,2007,200730,R40,19,15
ABCD,1101,2007,200730,S14,35,13
ABCD,1101,2007,200730,S16,0,0
ABCD,1101,2007,200730,S38,35,31
ABCD,1101,2007,200810,R14,35,12
ABCD,1101,2007,200810,S14,35,22
ABCD,1101,2008,200830,L10,0,0
ABCD,1101,2008,200830,R10,35,19
ABCD,1101,2008,200830,R40,35,35
ABCD,1101,2008,200830,S10,35,23
ABCD,1101,2008,200830,S11,35,27
ABCD,1101,2008,200830,S12,35,33
ABCD,1101,2008,200910,R14,35,13
ABCD,1101,2008,200910,S10,0,0
ABCD,1101,2008,200910,S14,35,28
ABCD,1101,2008,200920,S50,0,0
ABCD,1101,2009,200930,L10,35,15
ABCD,1101,2009,200930,R10,35,30
ABCD,1101,2009,200930,R40,20,20
ABCD,1101,2009,200930,S10,35,23
ABCD,1101,2009,200930,S11,35,31
ABCD,1101,2009,200930,S12,35,28
ABCD,1101,2009,200930,S13,35,0
ABCD,1101,2009,201010,R14,0,0
ABCD,1101,2009,201010,S10,0,0
ABCD,1101,2009,201010,S14,35,32
ABCD,1101,2010,201030,L10,0,0
ABCD,1101,2010,201030,R10,35,32
ABCD,1101,2010,201030,R40,35,31
ABCD,1101,2010,201030,S10,0,0
ABCD,1101,2010,201030,S11,37,34
ABCD,1101,2010,201030,S12,36,30
ABCD,1101,2010,201030,S13,35,31
ABCD,1101,2010,201110,S10,35,32
ABCD,1101,2011,201130,L40,35,21
ABCD,1101,2011,201130,R10,35,30
ABCD,1101,2011,201130,S10,35,31
ABCD,1101,2011,201130,S11,0,0
